,Unnamed: 0,latitud,longitud,titulo,tipo_propiedad,precio,moneda,m2,ambientes
0,0,-34.61127,-58.36378,Departamento-alquiler - Puerto Madero-situar,Apartamento,2900.0,USD,192.0,4.0
1,1,-34.589848,-58.50942,Oportunidad! Monoambiente A Estrenar - Alquiler Amoblado,Apartamento,50.0,USD,38.0,1.0
2,2,-34.60597,-34.60597,Alquiler Temporario De Lujo 4/p Hospital Italiano Caballito,Apartamento,1866.0,COP,57.0,1.0
3,3,-34.590656,-58.44873,Excelente Departamento 3 Ambientes (2 Cuartos) En Congreso,Apartamento,30000.0,COP,60.0,3.0
4,4,-34.624084,-58.38989,Departamentos Alquil Temporario Centro Cap Fed Bs As Dia Mes,Apartamento,2100.0,COP,64.0,3.0
5,5,-34.591774,-58.3941,Departamento Alquiler Temporario En Recoleta 2 Huéspedes,Apartamento,450.0,USD,39.0,2.0
6,6,-34.59169,-58.440125,Comodo Dpto Estrategicamente Ubicado,Apartamento,2000.0,COP,32.0,2.0
7,7,-34.57841,-58.44041,Alquiler Temporario Amoblado Av. Federico Lacroze 3700,Apartamento,3500.0,COP,65.0,2.0
8,8,-34.578278,-58.449863,Departamento Amoblado Temporario De Catergoria Bs As,Apartamento,3000.0,COP,55.0,2.0
9,9,-34.598644,-58.37261,Alquiler Departamento Temporario Retiro-microcentro,Apartamento,1350.0,COP,30.0,2.0
10,10,-34.62431,-58.434258,Av Jose Maria Moreno Al 500 - Caballito,Apartamento,50000.0,COP,50.0,2.0
11,11,-34.58645,-58.39521,"Exclusivo Departamento 2 Dormitorios, Seguridad 24 Hs",Apartamento,120.0,USD,130.0,3.0
12,12,-34.605854,-58.426388,Temporario 1 2 Y 3 Amb Fte A Hospital Italiano Naval Almagro,Apartamento,1033.0,COP,45.0,1.0
13,13,-34.600227,-58.3784,Departamento 2 Ambientes. $19000 Por Mes,Apartamento,19000.0,COP,35.0,2.0
14,14,-34.607285,-58.42935,Alquiler Temporal Zona Hospital Italiano,Apartamento,1800.0,COP,30.0,1.0
15,15,-34.587303,-58.407238,Excelente Studio En El Corazon De Recoleta,Apartamento,36000.0,COP,60.0,1.0
16,16,-34.573807,-58.44236,Departamento Con 2 Patios (90 M2) - Parrilla Y Pileta,Apartamento,500.0,USD,90.0,2.0
17,17,-34.59019,-58.410355,Alquila Dueño  Alto Palermo Semipiso Antiguo 3 Ambientes,Apartamento,3500.0,COP,60.0,3.0
18,18,-34.584156,-58.4385,Monoambiente En Alquiler Temporario En Palermo Hollywood,Apartamento,28000.0,COP,30.0,1.0
19,19,-34.59795,-58.406284,Cómodo Departamento Para Dos Personas En Recoleta,Apartamento,20000.0,COP,33.0,1.0
20,20,-38.00175,-57.542686,Dueño Directo Alquila Departamento 3 Ambientes Tribunales,Apartamento,50.0,COP,85.0,3.0
21,21,-34.607895,-58.395035,Alquiler Temporario Congreso,Apartamento,1200.0,COP,30.0,1.0
22,22,-34.59996,-58.37548,Buenos Aires - Alquiler Temporario Sobre Peatonal Florida,Apartamento,1450.0,COP,46.0,2.0
23,23,-34.61645,-58.367146,Luminoso Monoambiente Quartier Madero Con Amenities,Apartamento,32500.0,COP,37.0,1.0
24,24,-34.58777,-58.395298,Monoambiente Equipado Y Amoblado Para 2 Personas En Recoleta,Apartamento,27500.0,COP,35.0,1.0
25,25,-34.554474,-58.463993,"Alq Temp Dep 3 Amb,nuñez/belgr6pers-s/cabildo-ocup H/27-10",Apartamento,2000.0,COP,50.0,3.0
26,26,-34.604324,-58.40929,Hermoso Departamento En Zona Hospital Italiano,Apartamento,1300.0,COP,33.0,1.0
27,27,-34.577988,-58.431335,Espectacular Ph 3 Ambientes Palermo Soho,Apartamento,49000.0,COP,50.0,3.0
28,28,-34.594322,-58.39331,Monoambiente Recoleta Con Piscina/encargado/vigilancia,Apartamento,49000.0,COP,35.0,1.0
29,29,-34.579803,-58.428417,Hermoso Monoambiente En Palermo Hollywood,Apartamento,1800.0,COP,35.0,1.0
30,30,-34.57914,-58.440758,Departamento En Elcano Y Cramer,Apartamento,1500.0,COP,35.0,1.0
31,31,-34.60027,-58.495136,Tinogasta 3150 - Villa Del Parque,Apartamento,2200.0,COP,38.0,2.0
32,32,-34.590008,-58.41003,"Alquilo Alto Palermo,billinghurst Y Santa Fe-",Apartamento,6900.0,COP,97.0,4.0
33,33,-34.601864,-58.496902,Departamentos Totalmente Equipados Para 2/3 Personas ,Apartamento,2200.0,COP,50.0,1.0
34,34,-34.60737,-58.376637,Departamento En Alquiler Temporario Caba,Apartamento,70000.0,COP,82.0,4.0
35,35,-34.604557,-58.392807,Alquiler - 2 Amb - Amueblado Y Equipado - Centro/barrio Nort,Apartamento,26000.0,COP,36.0,2.0
36,36,-34.635532,-58.524815,Alquiler Por Dia. Departamento A Estrenar,Apartamento,3500.0,COP,70.0,3.0
37,37,-34.60368,-58.378754,"Departamento Comodo,  Funcional Y Excelente Ubicacion",Apartamento,23800.0,COP,35.0,2.0
38,38,-34.60461,-58.39663,Alquiler Temporal Departamento Zona Centro. Muy Luminoso.,Apartamento,2000.0,COP,50.0,2.0
39,39,-34.56082,-58.4425,Luminoso Y Cuidado 2 Amb Barrancas De Belgrano Dueño Directo,Apartamento,2300.0,COP,48.0,2.0
40,40,-34.598526,-58.44048,Departamento Alquiler Temporal Zona Palermo Wit,Apartamento,3500.0,COP,90.0,3.0
41,41,-34.59801,-58.416103,Apartamento Temporario 2 Ambi 3 Pers Universidad Palermo Luz,Apartamento,2000.0,COP,44.0,2.0
42,42,-34.58953,-58.40253,Alquilo Depto En Recoleta - Estadía Mínima 1 Noche,Apartamento,2700.0,COP,42.0,2.0
43,43,-34.557083,-58.451027,Av. Libertador Y Mendoza Fleni Icba Eneri Fleming Ulme,Apartamento,1488.0,COP,40.0,2.0
44,44,-34.55283,-58.45281,Av. Libertador Y Roosevelt  Fleni Icba Eneri Ivi Alcla,Apartamento,1488.0,COP,72.0,2.0
45,45,-34.57228,-58.433228,Duplex En Las Cañitas Alquiler Temporario,Apartamento,38000.0,COP,60.0,2.0
46,46,-34.597473,-58.49802,Villa Del Parque 2 Amb Alquiler Temporario Exc Ubicacion,Apartamento,2400.0,COP,35.0,2.0
47,47,-34.589878,-58.407543,"Edificio Categoria, Recoleta Gran Departamento Exc Ubicación",Apartamento,35000.0,COP,100.0,3.0
48,48,-34.61216,-58.370438,Departamento San Telmo Excelente Ubicacion Alquiler Temporal,Apartamento,1850.0,COP,35.0,2.0
49,49,-34.59036,-58.506706,Departamento De Alquiler Temporal Cap Fed Villa Devoto,Apartamento,2500.0,COP,38.0,1.0
50,50,-34.6002,-58.379765,Alquiler Temporal Departamento Amoblado Buenos Aires Centro,Apartamento,1080.0,USD,72.0,4.0
